Category,Name,type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Bifidobacterium,breve ,BR03,,,,,,,,,,V
Bifidobacterium,breve ,BR18,,,,,,,,,V,
Bifidobacterium,longum,BL986,V,,V,,,,,,V,
Lactobacillus,acidophilus,LA1063,V,,V,,,,,,V,
Lactobacillus,delbrueckii,LDL114,,V,V,V,,,V,V,,
Lactobacillus,fermentum,LF11,,,,,,,,,,
Lactobacillus,fermentum,LF15,,,,,,,,,,
Lactobacillus,fermentum,LF26,V,V,V,V,,,V,V,V,
Lactobacillus,fermentum,MG901,,,,,,,,,,
Lactobacillus,helveticus,LA25,V,V,V,V,,,V,V,,
Lactobacillus,helveticus,LH43,,,V,,,,,,V,
Lactobacillus,paracasei,IMC502,,,,,,V,,,,
Lactobacillus,paracasei,LC11,,,,,,,,,,
Lactobacillus,paracasei,LPC09,,,,,,,,,,V
Lactobacillus,paracasei,LPC12,V,V,V,V,,,V,V,V,
Lactobacillus,paracasei,MG4272,,,,,,,,,,
Lactobacillus ,casei,CS773,,,,,,,,,,
Lactobacillus ,casei,LC122,,,,,,,,,V,
Lactobacillus ,gasseri,KM97,,,,,,V,,,,
Lactobacillus ,gasseri,LG343,,,,,,,,,V,
Lactobacillus ,plantarum,LP01,,,,,,,,,,V
Lactobacillus ,plantarum,LP115,,V,V,V,,,V,V,,
Lactobacillus ,plantarum,LP14,,,,,,,,,,
Lactobacillus ,plantarum,MG989,,,,,,,,,,
Lactobacillus ,reuteri,RC14,,,,,V,,,,,
Lactobacillus ,rhamnosus,CT53,,,,,,,,,,
Lactobacillus ,rhamnosus,F1,,,,,,,,,,
Lactobacillus ,rhamnosus,GR1,,,,,,,,,,
Lactobacillus ,rhamnosus,HN001,,,,,,,,,,
Lactobacillus ,rhamnosus,IMC501,,,,,,V,,,,
Lactobacillus ,rhamnosus,LRH1,,,,,,,,,,
Lactobacillus ,rhamnosus,LRH10,V,V,V,V,V,,V,V,V,
Lactobacillus ,rhamnosus,LRH113,,,,,,,,,V,
Lactobacillus ,rhamnosus,MG4288,,,,,,,,,,
Lactobacillus ,rhamnosus,SP1,,,,,,V,,,,
Streptococcus,thermophilus,ST30,V,,V,,,,,,V,
